Year,Quarter,Month,tourists万人次,revenue亿元,source
2013,1,1,171.25,13.12,桂林市旅游局月度统计
2013,1,2,268.15,23.33,桂林市旅游局月度统计
2013,1,3,222.26,23.09,桂林市旅游局月度统计(累计推算)
2013,1,-,661.66,59.54,桂林市旅游局Q1累计
2013,2,4,277.66,24.26,桂林市旅游局月度统计
2013,2,5,296.37,26.66,桂林市旅游局月度统计
2013,2,6,324.41,34.54,桂林市旅游局月度统计
2013,2,-,898.44,85.45,桂林市旅游局Q2累计(1-6月减1-3月)
2013,3,7,384.13,34.14,桂林市旅游局月度统计
2013,3,8,399.75,35.31,桂林市旅游局月度统计
2013,3,9,346.85,37.54,桂林市旅游局月度统计
2013,3,-,1130.73,106.99,桂林市旅游局Q3累计(1-9月减1-6月)
2013,4,10,358.55,36.96,桂林市旅游局月度统计
2013,4,11,318.15,32.32,桂林市旅游局月度统计
2013,4,12,216.64,27.21,桂林市旅游局月度统计
2013,4,-,893.34,96.50,桂林市旅游局Q4累计(1-12月减1-9月)
