Year,Quarter,tourists,revenue
2013,1,661.66,59.54
2013,2,898.44,85.45
2013,3,1130.73,106.99
2013,4,893.34,96.5
2014,1,716.54,70.79
2014,2,951.58,96.21
2014,3,1312.78,142.69
2014,4,890.26,110.61
2015,1,780.69,82.39
2015,2,1099.98,124.25
2015,3,1354.98,155.67
2015,4,1234.3,155.02
2016,1,1140.59,120.9
2016,2,1197.1,150.51
2016,3,1428.17,178.43
2016,4,1620.01,187.47
2017,1,,
2017,2,,
2017,3,2655.22,329.87
2017,4,1593.65,183.3
2018,1,1953.89,257.01
2018,2,2846.47,347.15
2018,3,3196.79,408.04
2018,4,2918.17,379.55
2019,1,2434.55,343.21
2019,2,3704.6,505.62
2019,3,4313.12,582.99
2019,4,3381.4,436.4
2020,1,697.83,101.21
2020,2,2004.02,244.62
2020,3,4049.79,491.08
2020,4,3489.56,396.74
2021,1,1814.36,232.61
2021,2,4148.21,500.33
2021,3,3977.18,497.93
2021,4,2295.13,270.92
2022,1,1493.77,192.68
2022,2,3223.23,373.77
2022,3,3528.72,418.94
2022,4,2447.42,292.0
2023,1,2845.62,359.26
2023,2,4171.52,475.64
2023,3,4010.54,514.83
2023,4,2870.96,363.71
2024,1,3262.11,414.87
2024,2,4505.23,521.94
2024,3,4717.73,588.95
2024,4,3077.78,374.12
2025,1,,
2025,2,,
2025,3,,
2025,4,,
