Year,tourists_total,tourism_revenue,CCI_mean,CCI_max,CCI_min,Tmax_mean,Tavg_mean,rain_days,hot_days,cold_days,pandemic
2011,2788.17,218.34,51.42,100.0,10.12,23.24,19.52,141,34,50,0
2012,3292.65,276.87,50.24,99.27,8.29,22.31,19.13,187,16,61,0
2013,3584.17,348.48,54.28,99.42,8.97,24.08,20.53,163,31,23,0
2014,3871.16,418.58,53.09,99.57,12.04,23.96,20.41,190,24,35,0
2015,4469.95,517.33,56.43,99.57,12.06,23.44,20.11,191,11,18,0
2016,5385.87,637.37,53.2,99.57,9.13,24.4,20.72,161,31,31,0
2017,8232.79,971.76,53.68,100.0,11.23,24.08,20.5,157,20,15,0
2018,10915.33,1391.75,53.4,99.57,10.03,23.99,20.53,182,25,36,0
2019,13833.67,1868.22,51.17,98.76,10.65,24.74,21.11,170,46,17,0
2020,10241.2,1233.54,52.75,99.42,9.49,23.11,20.22,114,16,27,1
2021,12239.14,1502.88,48.66,97.93,12.15,24.65,21.44,98,56,7,1
2022,10695.55,1277.9,51.49,98.84,9.94,24.41,20.96,102,51,33,1
2023,13927.57,1721.73,52.84,98.76,10.78,24.55,21.23,112,36,20,0
2024,15663.66,1927.89,54.26,100.0,10.61,24.39,21.13,96,43,27,0
2025,17500.0,2175.47,52.55,99.27,12.82,25.35,21.69,91,46,5,0
