Year,Holiday,tourists,revenue,Month,CCI_mean,Tmax_mean,Tavg_mean,rain_days,hot_days,cold_days
2019,春节,220.15,20.15,2,25.63,13.57,10.88,21,0,6
2019,五一,151.34,16.19,5,68.57,29.65,26.35,21,0,0
2019,国庆,289.76,35.6,10,86.25,24.23,20.1,9,0,0
2020,国庆中秋,293.8,36.0,10,89.94,23.9,20.4,3,0,0
2021,春节,229.19,21.38,2,43.46,17.04,14.5,14,0,0
2021,五一,235.03,25.08,5,67.94,29.03,25.6,15,2,0
2021,国庆,384.82,43.48,10,67.36,20.19,17.53,10,0,0
2022,春节,215.67,19.87,2,50.98,16.46,13.45,7,0,8
2022,国庆,325.43,36.78,10,84.56,27.81,23.56,0,0,0
2023,春节,375.8,34.61,1,19.57,11.39,9.08,10,0,9
2023,五一,435.56,45.73,5,54.62,31.23,27.47,16,7,0
2023,中秋国庆,602.93,68.35,10,77.08,24.97,21.18,13,0,0
2024,春节,751.15,83.57,2,35.54,14.45,11.83,12,0,7
2024,五一,482.34,50.12,5,71.59,28.58,25.74,10,1,0
2024,国庆,716.19,80.6,10,91.32,26.32,22.37,2,0,0
2025,春节,835.81,92.4,2,27.85,13.36,11.59,19,0,2
2025,五一,612.11,63.66,5,68.75,28.81,25.76,15,0,0
2025,国庆中秋,941.73,106.5,10,75.48,22.16,19.08,6,0,0
